catch_id,caught_at,user_id,user_name,area_id,area_name,fish_id,fish_name,size,lure,weather
4487277,2023-04-20 21:04:00+09:00,425515,🎣せさめ🎣,1148,水の広場公園,2,シーバス,27.0,シリテンバイブ53 - ブルピンイワシ,快晴
4486796,2023-04-20 20:00:00+09:00,602868,たお。,1148,水の広場公園,2,シーバス,,,快晴
4481672,2023-04-19 05:41:00+09:00,731338,トモ/ほんの少しだけ釣れてきた猫,1148,水の広場公園,575,コノシロ,20.0,,快晴
4496165,2023-04-18 21:29:00+09:00,703059,Takさん釣りたいな,1148,水の広場公園,2,シーバス,40.0,ブローウイン80s - シラス,晴れ
4477729,2023-04-17 16:39:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,45.0,イガイ団子,快晴
4474302,2023-04-16 03:32:00+09:00,532015,あっか～ん,1148,水の広場公園,2,シーバス,43.0,エリア10 - ピンク,曇り
4496592,2023-04-16 01:36:00+09:00,703059,Takさん釣りたいな,1148,水の広場公園,2,シーバス,20.0,カッター - パール、ピンクベリー,曇り
4470746,2023-04-15 02:27:00+09:00,394909,sho103,1148,水の広場公園,2,シーバス,30.0,ノガレ,晴れ
4476805,2023-04-15 00:50:00+09:00,809674,フラスベグレイター,1148,水の広場公園,19,ハゼ,8.0,,晴れ
4466592,2023-04-14 02:19:00+09:00,532015,あっか～ん,1148,水の広場公園,2,シーバス,63.0,DAISOVJ - ピンクパール,快晴
4467182,2023-04-13 22:23:00+09:00,691380,ウスゲー太郎,1148,水の広場公園,2,シーバス,30.0,,快晴
4467179,2023-04-13 20:39:00+09:00,691380,ウスゲー太郎,1148,水の広場公園,2,シーバス,50.0,,快晴
4466543,2023-04-13 20:35:00+09:00,1044774,江東太郎,1148,水の広場公園,2,シーバス,20.0,スイッチヒッター,快晴
4460162,2023-04-11 09:22:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,,カニ,快晴
4459650,2023-04-10 23:50:00+09:00,556047,たなかさえ,1148,水の広場公園,2,シーバス,,ノガレ120F - チャートヘッドブラック,快晴
4459647,2023-04-10 22:05:00+09:00,556047,たなかさえ,1148,水の広場公園,2,シーバス,,マニック 95 - ベイホワイト,快晴
4459644,2023-04-10 21:45:00+09:00,556047,たなかさえ,1148,水の広場公園,2,シーバス,,ノガレ120F - ライムチャートブラック,快晴
4459642,2023-04-10 20:10:00+09:00,556047,たなかさえ,1148,水の広場公園,2,シーバス,,マニック 95 - ベイホワイト,快晴
4456692,2023-04-09 23:37:00+09:00,425515,🎣せさめ🎣,1148,水の広場公園,2,シーバス,25.0,ノガレ120F - 銀粉トワイライト,快晴
4456798,2023-04-09 23:03:00+09:00,556047,たなかさえ,1148,水の広場公園,2,シーバス,,ノガレ120F - ライムチャートブラック,快晴
4456691,2023-04-09 22:35:00+09:00,425515,🎣せさめ🎣,1148,水の広場公園,2,シーバス,55.0,ノガレ120F - 銀粉トワイライト,快晴
4456690,2023-04-09 22:24:00+09:00,425515,🎣せさめ🎣,1148,水の広場公園,2,シーバス,57.0,ノガレ120F - 銀粉トワイライト,快晴
4456511,2023-04-09 21:00:00+09:00,707009,勇輝　,1148,水の広場公園,2,シーバス,25.0,sasuke  95 ss - ボラ,快晴
4452161,2023-04-09 00:31:00+09:00,852788,YOSHI🍀🍀🐟,1148,水の広場公園,2,シーバス,,,快晴
4445934,2023-04-06 04:40:00+09:00,835354,40年ぶりのヘチ釣り,1150,有明西ふ頭公園,185,クロダイ,30.0,アオイソメ,晴れ
4441061,2023-04-04 16:05:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,40.5,カニ,快晴
4439088,2023-04-03 16:44:00+09:00,707009,勇輝　,1148,水の広場公園,2,シーバス,45.0,ミドルアッパー,快晴
4410031,2023-03-24 22:14:00+09:00,869483,Kcraft,1148,水の広場公園,2,シーバス,39.0,RJ-7 - ピンクヘッド,小雨
4410026,2023-03-24 20:35:00+09:00,869483,Kcraft,1148,水の広場公園,2,シーバス,29.0,RJ-7 - ピンクヘッド,雨
4400610,2023-03-21 12:10:00+09:00,623637,泳がせはロマン,1148,水の広場公園,2,シーバス,53.0,,晴れ
4400341,2023-03-20 15:57:00+09:00,1002135,けんはる,1148,水の広場公園,575,コノシロ,,B太,曇り
4395240,2023-03-19 18:14:00+09:00,888686,釣りはエサかサビキですよ？,1148,水の広場公園,370,マハゼ,15.0,アオイソメ,晴れ
4355202,2023-03-04 18:34:00+09:00,855287,ざわめき,1150,有明西ふ頭公園,370,マハゼ,,,快晴
4337705,2023-02-24 20:43:00+09:00,281496,サジサン,1148,水の広場公園,2,シーバス,45.0,,小雨
4326553,2023-02-19 13:37:00+09:00,525300,ぐるりケーシー🎣🤟,1148,水の広場公園,2,シーバス,50.0,,曇り
4309242,2023-02-11 04:01:00+09:00,502028,まぁぁ,1148,水の広場公園,7,メバル,,ジグヘッド+イソメ,快晴
4305602,2023-02-08 18:26:00+09:00,467205,🍊あつぽん🍊,1148,水の広場公園,370,マハゼ,19.0,,霧
4304327,2023-02-07 22:00:00+09:00,946161,福岡育ちのなお,1148,水の広場公園,370,マハゼ,18.0,,曇り
4303299,2023-02-07 10:35:00+09:00,812167,Y釣り板,1148,水の広場公園,2,シーバス,,,快晴
4295590,2023-02-04 18:29:00+09:00,376467,小魚専科パンケーキ〆,1148,水の広場公園,2,シーバス,25.5,,快晴
4291872,2023-02-02 19:04:00+09:00,376467,小魚専科パンケーキ〆,1148,水の広場公園,2,シーバス,24.0,,曇り
4284450,2023-01-28 22:41:00+09:00,295169,martin0318,1150,有明西ふ頭公園,164,クロメバル,10.0,,晴れ
4283508,2023-01-28 08:28:00+09:00,855287,ざわめき,1150,有明西ふ頭公園,751,モクズガニ,20.0,,快晴
4252276,2023-01-09 20:25:00+09:00,946161,福岡育ちのなお,1148,水の広場公園,164,クロメバル,15.0,,快晴
