catch_id,caught_at,user_id,user_name,area_id,area_name,fish_id,fish_name,size,lure
4506945,2023-04-25 20:12:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,50.0,エリテン - 浅草釣具オリジナル
4506814,2023-04-25 19:42:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,43.0,feel120 - クリアパープル
4506812,2023-04-25 19:08:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,55.0,マニックスロー95 - マットブラックPBⅡ
4506808,2023-04-25 19:03:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,60.0,マニックスロー95 - マットブラックPBⅡ
4504104,2023-04-24 23:05:00+09:00,425515,🎣せさめ🎣,1148,水の広場公園,2,シーバス,43.0,ノガレ120F - 銀粉トワイライト
4504101,2023-04-24 22:59:00+09:00,425515,🎣せさめ🎣,1148,水の広場公園,2,シーバス,30.0,ノガレ120F - 銀粉トワイライト
4504080,2023-04-24 22:50:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,53.0,マニックスロー95 - マット赤イソメ
4504082,2023-04-24 22:04:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,28,ボラ,50.0,コルセア50 - マットピンク
4504100,2023-04-24 22:00:00+09:00,425515,🎣せさめ🎣,1148,水の広場公園,2,シーバス,23.0,ノガレ120F - 銀粉メスバチピンク
4504095,2023-04-24 21:38:00+09:00,425515,🎣せさめ🎣,1148,水の広場公園,2,シーバス,26.0,ノガレ120F - 銀粉メスバチピンク
4504079,2023-04-24 21:22:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,52.0,ガレッタ65 - オレキン
4504073,2023-04-24 20:35:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,50.0,マニックスロー95 - マット赤イソメ
4504066,2023-04-24 20:22:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,60.0,マニックスロー95 - 赤虫レインボー
4504063,2023-04-24 19:31:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,55.0,マニックスロー95 - マットブラックPBⅡ
4504059,2023-04-24 19:21:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,60.0,マニックスロー95 - マットブラックPBⅡ
4496219,2023-04-22 22:18:00+09:00,703059,Takさん釣りたいな,1148,水の広場公園,969,チヌ,57.0,エリアテン - オーロラピンク
4494059,2023-04-22 21:12:00+09:00,799749,てての,1148,水の広場公園,2,シーバス,46.0,
4496295,2023-04-22 20:55:00+09:00,703059,Takさん釣りたいな,1148,水の広場公園,2,シーバス,50.0,
4539927,2023-04-22 20:46:00+09:00,883547,OJ0702,1148,水の広場公園,2,シーバス,25.0,マニック75
4494581,2023-04-22 20:26:00+09:00,428326,Ted412,1148,水の広場公園,2,シーバス,40.0,アルデンテ95S - bay night fever
4494539,2023-04-22 20:14:00+09:00,707009,勇輝　,1148,水の広場公園,2,シーバス,55.0,ヒソカ120F - マットバチピンク
4495533,2023-04-22 19:51:00+09:00,779661,アングラーヤマシタ,1148,水の広場公園,2,シーバス,25.0,月下美人 澪示威 SOLID 50 - キャンディ
4494567,2023-04-22 19:36:00+09:00,428326,Ted412,1148,水の広場公園,2,シーバス,50.0,ノガレ120F - チャートヘッドブラック
4493193,2023-04-22 17:00:00+09:00,665332,noricgeographic,1148,水の広場公園,576,サッパ,,
4490910,2023-04-22 09:01:00+09:00,354274,あにか10416,1150,有明西ふ頭公園,2,シーバス,55.0,ボウズのがれ
4489862,2023-04-21 23:15:00+09:00,999208,アングラーturbo,1148,水の広場公園,2,シーバス,50.0,
4489805,2023-04-21 20:51:00+09:00,533099,コマコマ,1148,水の広場公園,2,シーバス,32.0,ノガレ
4489835,2023-04-21 19:09:00+09:00,422146,KennyS,1148,水の広場公園,2,シーバス,50.0,ノガレ120F
4486962,2023-04-20 21:34:00+09:00,533099,コマコマ,1148,水の広場公園,2,シーバス,25.0,ヒソカ120f - マットライムピンクベリー
4487277,2023-04-20 21:04:00+09:00,425515,🎣せさめ🎣,1148,水の広場公園,2,シーバス,27.0,シリテンバイブ53 - ブルピンイワシ
4486796,2023-04-20 20:00:00+09:00,602868,たお。,1148,水の広場公園,2,シーバス,,
4481672,2023-04-19 05:41:00+09:00,731338,トモ/ほんの少しだけ釣れてきた猫,1148,水の広場公園,575,コノシロ,20.0,
4496165,2023-04-18 21:29:00+09:00,703059,Takさん釣りたいな,1148,水の広場公園,2,シーバス,40.0,ブローウイン80s - シラス
4477729,2023-04-17 16:39:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,45.0,イガイ団子
4474302,2023-04-16 03:32:00+09:00,532015,あっか～ん,1148,水の広場公園,2,シーバス,43.0,エリア10 - ピンク
4496592,2023-04-16 01:36:00+09:00,703059,Takさん釣りたいな,1148,水の広場公園,2,シーバス,20.0,カッター - パール、ピンクベリー
4470746,2023-04-15 02:27:00+09:00,394909,sho103,1148,水の広場公園,2,シーバス,30.0,ノガレ
4476805,2023-04-15 00:50:00+09:00,809674,フラスベグレイター,1148,水の広場公園,19,ハゼ,8.0,
4466592,2023-04-14 02:19:00+09:00,532015,あっか～ん,1148,水の広場公園,2,シーバス,63.0,DAISOVJ - ピンクパール
4467182,2023-04-13 22:23:00+09:00,691380,ウスゲー太郎,1148,水の広場公園,2,シーバス,30.0,
4467179,2023-04-13 20:39:00+09:00,691380,ウスゲー太郎,1148,水の広場公園,2,シーバス,50.0,
4466543,2023-04-13 20:35:00+09:00,1044774,江東太郎,1148,水の広場公園,2,シーバス,20.0,スイッチヒッター
4460162,2023-04-11 09:22:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,,カニ
4459650,2023-04-10 23:50:00+09:00,556047,たなかさえ,1148,水の広場公園,2,シーバス,,ノガレ120F - チャートヘッドブラック
4459647,2023-04-10 22:05:00+09:00,556047,たなかさえ,1148,水の広場公園,2,シーバス,,マニック 95 - ベイホワイト
4459644,2023-04-10 21:45:00+09:00,556047,たなかさえ,1148,水の広場公園,2,シーバス,,ノガレ120F - ライムチャートブラック
4459642,2023-04-10 20:10:00+09:00,556047,たなかさえ,1148,水の広場公園,2,シーバス,,マニック 95 - ベイホワイト
4456692,2023-04-09 23:37:00+09:00,425515,🎣せさめ🎣,1148,水の広場公園,2,シーバス,25.0,ノガレ120F - 銀粉トワイライト
4456798,2023-04-09 23:03:00+09:00,556047,たなかさえ,1148,水の広場公園,2,シーバス,,ノガレ120F - ライムチャートブラック
4456691,2023-04-09 22:35:00+09:00,425515,🎣せさめ🎣,1148,水の広場公園,2,シーバス,55.0,ノガレ120F - 銀粉トワイライト
4456690,2023-04-09 22:24:00+09:00,425515,🎣せさめ🎣,1148,水の広場公園,2,シーバス,57.0,ノガレ120F - 銀粉トワイライト
4456511,2023-04-09 21:00:00+09:00,707009,勇輝　,1148,水の広場公園,2,シーバス,25.0,sasuke  95 ss - ボラ
4452161,2023-04-09 00:31:00+09:00,852788,YOSHI🍀🍀🐟,1148,水の広場公園,2,シーバス,,
4445934,2023-04-06 04:40:00+09:00,835354,40年ぶりのヘチ釣り,1150,有明西ふ頭公園,185,クロダイ,30.0,アオイソメ
4441061,2023-04-04 16:05:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,40.5,カニ
4439088,2023-04-03 16:44:00+09:00,707009,勇輝　,1148,水の広場公園,2,シーバス,45.0,ミドルアッパー
4410031,2023-03-24 22:14:00+09:00,869483,Kcraft,1148,水の広場公園,2,シーバス,39.0,RJ-7 - ピンクヘッド
4410026,2023-03-24 20:35:00+09:00,869483,Kcraft,1148,水の広場公園,2,シーバス,29.0,RJ-7 - ピンクヘッド
4400610,2023-03-21 12:10:00+09:00,623637,泳がせはロマン,1148,水の広場公園,2,シーバス,53.0,
4400341,2023-03-20 15:57:00+09:00,1002135,けんはる,1148,水の広場公園,575,コノシロ,,B太
4395240,2023-03-19 18:14:00+09:00,888686,釣りはエサかサビキですよ？,1148,水の広場公園,370,マハゼ,15.0,アオイソメ
4355202,2023-03-04 18:34:00+09:00,855287,ざわめき,1150,有明西ふ頭公園,370,マハゼ,,
4337705,2023-02-24 20:43:00+09:00,281496,サジサン,1148,水の広場公園,2,シーバス,45.0,
4326553,2023-02-19 13:37:00+09:00,525300,ぐるりケーシー🎣🤟,1148,水の広場公園,2,シーバス,50.0,
4309242,2023-02-11 04:01:00+09:00,502028,まぁぁ,1148,水の広場公園,7,メバル,,ジグヘッド+イソメ
4305602,2023-02-08 18:26:00+09:00,467205,🍊あつぽん🍊,1148,水の広場公園,370,マハゼ,19.0,
4304327,2023-02-07 22:00:00+09:00,946161,福岡育ちのなお,1148,水の広場公園,370,マハゼ,18.0,
4303299,2023-02-07 10:35:00+09:00,812167,Y釣り板,1148,水の広場公園,2,シーバス,,
4295590,2023-02-04 18:29:00+09:00,376467,小魚専科パンケーキ〆,1148,水の広場公園,2,シーバス,25.5,
4291872,2023-02-02 19:04:00+09:00,376467,小魚専科パンケーキ〆,1148,水の広場公園,2,シーバス,24.0,
4284450,2023-01-28 22:41:00+09:00,295169,martin0318,1150,有明西ふ頭公園,164,クロメバル,10.0,
4283508,2023-01-28 08:28:00+09:00,855287,ざわめき,1150,有明西ふ頭公園,751,モクズガニ,20.0,
4252276,2023-01-09 20:25:00+09:00,946161,福岡育ちのなお,1148,水の広場公園,164,クロメバル,15.0,
4237720,2023-01-07 20:57:00+09:00,416806,下町擬似餌釣好おじさん,1148,水の広場公園,2,シーバス,30.0,マリブ78
4236259,2023-01-07 16:06:00+09:00,399853,もりたん,1148,水の広場公園,185,クロダイ,,フジツボ
4225661,2023-01-03 19:22:00+09:00,891614,kiryuたまご,1150,有明西ふ頭公園,2,シーバス,20.0,青イソメ
4197460,2022-12-23 20:53:00+09:00,927456,タイガーアパカ,1148,水の広場公園,2,シーバス,25.0,ジョルティ - オレンジ
4196715,2022-12-23 10:52:00+09:00,432639,クロダイ釣りたい,1150,有明西ふ頭公園,185,クロダイ,45.0,
4192806,2022-12-20 16:43:00+09:00,281496,サジサン,1150,有明西ふ頭公園,2,シーバス,50.0,ニンジャリ
4189329,2022-12-18 19:01:00+09:00,665332,noricgeographic,1148,水の広場公園,539,カタクチイワシ,,トリックサビキ
4188676,2022-12-18 13:09:00+09:00,399853,もりたん,1148,水の広場公園,185,クロダイ,,フジツボ
4185292,2022-12-16 19:25:00+09:00,857240,kazuyan0921,1148,水の広場公園,796,セイゴ（マルスズキ）,30.0,アジコンバイブ - キラキラシラス
4178303,2022-12-13 19:44:00+09:00,764643,しろころ,1148,水の広場公園,969,チヌ,35.0,VJ16
4178477,2022-12-13 18:38:00+09:00,999208,アングラーturbo,1148,水の広場公園,2,シーバス,21.0,ジョルティ - ゴールド
4176753,2022-12-12 21:01:00+09:00,999208,アングラーturbo,1148,水の広場公園,969,チヌ,47.0,ジョルティ - クリアー
4169419,2022-12-11 05:49:00+09:00,502028,まぁぁ,1148,水の広場公園,796,セイゴ（マルスズキ）,,妻専用仕掛け+イソメ
4168588,2022-12-10 17:00:00+09:00,665332,noricgeographic,1148,水の広場公園,539,カタクチイワシ,,
